ID;title;rating;release_date;original_language;IMDb_ID;genre;plot;box_office_domestic;box_office_worldwide;extracted_plotpoints;Used_Plotphrases;Best_Match_Phrase;Similarity_Score
1;It;7.239;2017-09-06;en;tt1396484;Horror;In the Town of Derry, the local kids are disappearing one by one. In a place known as 'The Barrens', a group of seven kids are united by their horrifying and strange encounters with an evil clown and their determination to kill It.;$328,874,981;719766009;['kids disappearing place', 'kids disappearing', 'derry local kids', 'local kids disappearing', 'barrens group seven', 'barrens group', 'group seven kids', 'local kids', 'seven kids', 'known barrens group', 'seven kids united', 'town derry', 'known barrens', 'place known barrens', 'kids united horrifying', 'encounters evil clown', 'town derry local', 'derry local', 'kids united', 'disappearing place', 'horrifying strange encounters', 'evil clown determination', 'clown determination kill', 'strange encounters', 'disappearing place known', 'strange encounters evil', 'clown determination', 'encounters evil', 'evil clown', 'group seven', 'horrifying strange', 'united horrifying strange', 'place known', 'united horrifying', 'determination kill'];False;childhood home;0.37799370288848877
2;World War Z;6.823;2013-06-19;en;tt0816711;Action, Adventure, Horror;Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.;$202,807,711;531865000;['investigator gerry lane', 'nations investigator gerry', 'life united nations', 'gerry lane', 'rampaging mindless zombies', 'investigator gerry', 'gerry lane family', 'life united', 'mindless zombies', 'zombies barely escaping', 'mission investigate disease', 'zombies barely', 'world lane', 'world lane brave', 'mindless zombies barely', 'trek world lane', 'investigate disease', 'chaos lane', 'horrific dangers long', 'world plagued mysterious', 'disease follows perilous', 'escaping chaos lane', 'lane family content', 'chaos lane persuaded', 'lane persuaded mission', 'united nations investigator', 'nations investigator', 'lane brave horrific', 'infection turning human', 'lane family', 'perilous trek world', 'world plagued', 'investigate disease follows', 'plagued mysterious infection', 'disease follows', 'turning human populations', 'suddenly world plagued', 'human civilization', 'brave horrific dangers', 'lane persuaded', 'trek world', 'horrific dangers', 'dangers long', 'suddenly world', 'lane brave', 'follows perilous trek', 'plagued mysterious', 'perilous trek', 'escaping chaos', 'populations rampaging mindless', 'barely escaping chaos', 'answers human civilization', 'mysterious infection turning', 'united nations', 'mysterious infection', 'mission investigate', 'infection turning', 'turning human', 'human civilization falls', 'human populations', 'content suddenly world', 'persuaded mission investigate', 'human populations rampaging', 'brave horrific', 'follows perilous', 'dangers long odds', 'family content suddenly', 'answers human', 'family content', 'rampaging mindless', 'civilization falls', 'odds answers human', 'barely escaping', 'long odds', 'odds answers'];False;mysterious illness;0.4518844485282898
3;The Meg;6.248;2018-08-09;en;tt4779682;Action, Adventure, Horror;Five years ago, expert sea diver and Naval Captain Jonas Taylor encountered an unknown danger in the unexplored recesses of the Mariana Trench that forced him to abort his mission and abandon half his crew. Though the tragic incident earned him a dismissal from service, what ultimately cost him his career, his marriage and any semblance of honor was his unsupported and incredulous claims of what caused it - an attack on his vessel by a mammoth, 70-foot sea creature, believed to be extinct for more than a million years. But when a submersible lies sunk and disabled at the bottom of the ocean - carrying his ex-wife among the team onboard - he is the one who gets the call. Whether a shot at redemption or a suicide mission, Jonas must confront his fears and risk his own life and the lives of everyone trapped below on a single question: Could the Carcharodon Megalodon - the largest marine predator that ever existed - still be alive - and on the hunt?;$145,522,784;530517320;['marine predator existed', 'largest marine predator', 'marine predator', 'megalodon largest marine', 'sea creature', 'question carcharodon megalodon', 'sea creature believed', 'sea diver', 'sunk disabled ocean', 'expert sea diver', 'carcharodon megalodon', 'predator existed alive', 'creature believed extinct', 'carcharodon megalodon largest', 'foot sea creature', 'jonas taylor encountered', 'largest marine', 'disabled ocean', 'captain jonas taylor', 'naval captain jonas', 'ocean carrying ex', 'diver naval captain', 'disabled ocean carrying', 'ago expert sea', 'believed extinct million', 'vessel mammoth', 'extinct million years', 'submersible lies sunk', 'crew tragic incident', 'jonas confront fears', 'abandon half crew', 'suicide mission jonas', 'creature believed', 'mariana trench', 'unknown danger unexplored', 'trench forced abort', 'diver naval', '70 foot sea', 'jonas confront', 'sunk disabled', 'lies sunk', 'million years submersible', 'abort mission abandon', 'naval captain', 'alive hunt', 'lives trapped single', 'unexplored recesses mariana', 'redemption suicide', 'onboard gets shot', 'trapped single question', 'caused attack vessel', 'mammoth 70', 'existed alive', 'forced abort', 'million years', 'risk life lives', 'onboard gets', 'taylor encountered unknown', 'confront fears', 'unsupported incredulous', 'life lives', 'ago expert', 'team onboard', '70 foot', 'encountered unknown', 'ex wife team', 'carrying ex wife', 'gets shot', 'single question', 'semblance honor', 'years ago', 'ultimately cost', 'claims caused', 'career marriage', 'earned dismissal'];False;fight survival;0.31545490026474
4;The Conjuring: Last Rites;6.9;2025-09-03;en;tt22898462;Horror, Mystery, Thriller;Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.;$177,756,445;499156445;['paranormal investigators ed', 'investigators ed lorraine', 'paranormal investigators', 'terrifying case involving', 'warren terrifying case', 'mysterious entities confront', 'investigators ed', 'lorraine warren terrifying', 'case involving mysterious', 'ed lorraine warren', 'involving mysterious entities', 'involving mysterious', 'terrifying case', 'warren terrifying', 'ed lorraine', 'lorraine warren', 'mysterious entities', 'entities confront', 'case involving'];True;supernatural events;0.517224907875061
5;It Chapter Two;6.841;2019-09-04;en;tt7349950;Drama, Fantasy, Horror;Defeated by members of the Losers' Club, the evil clown Pennywise returns 27 years later to terrorize the town of Derry, Maine, once again. Now adults, the childhood friends have long since gone their separate ways. But when people start disappearing, Mike Hanlon calls the others home for one final stand. Damaged by scars from the past, the united Losers must conquer their deepest fears to destroy the shape-shifting Pennywise -- now more powerful than ever.;$211,622,525;473123154;['clown pennywise returns', 'evil clown pennywise', 'clown pennywise', 'pennywise returns', 'pennywise returns 27', 'evil clown', 'pennywise powerful', 'losers club evil', 'club evil clown', 'defeated members losers', 'united losers conquer', 'shifting pennywise', 'losers conquer', 'members losers', 'past united losers', 'losers conquer deepest', 'united losers', 'members losers club', 'losers club', 'shifting pennywise powerful', 'shape shifting pennywise', 'terrorize town derry', 'fears destroy shape', 'defeated members', 'later terrorize town', 'town derry', 'deepest fears destroy', 'town derry maine', 'club evil', 'derry maine', 'disappearing mike hanlon', 'years later terrorize', 'fears destroy', 'derry maine adults', 'terrorize town', 'deepest fears', 'destroy shape', 'disappearing mike', 'people start disappearing', 'friends long gone', 'start disappearing mike', 'later terrorize', 'scars past united', 'start disappearing', 'childhood friends', 'past united', 'childhood friends long', 'mike hanlon', '27 years later', 'home final', 'long gone', 'home final stand', 'scars past', 'returns 27', 'destroy shape shifting', 'years later', 'gone separate ways', 'calls home final', 'final stand', 'gone separate', 'friends long', 'hanlon calls home', 'adults childhood friends', 'returns 27 years', 'mike hanlon calls', '27 years', 'conquer deepest', 'ways people', 'shape shifting', 'maine adults childhood', 'adults childhood', 'stand damaged scars', 'separate ways people', 'stand damaged', 'ways people start'];False;group friends;0.4515606760978699
6;Beetlejuice Beetlejuice;6.942;2024-09-04;en;tt2049403;Comedy, Fantasy, Horror;From critically acclaimed filmmaker and screenwriter, Tim Burton presents the long-awaited sequel to the Halloween classic. Keaton's action-packed comedic demon returns to the silver screen for more mischief than ever before. When the Maitland house EXPLODES, so does the fun, so buckle up. The original cast and crew plus new additions return when Beetlejuice is found homeless in the netherworld. He takes it upon himself to travel back to the mortal world seeking comfort, only to find the Maitland house has blown up due to a gas leak. Leaving our beloved characters without a humble home to share the love. In search of guidance, the crew travels down to the Netherworld only to find there's a new sheriff in these parts, The Jersey Devil (Will Arnett). Through a surprising turn of events, the self-known ladies man, Beetlejuice learns that the Jersey Devil is his long-lost son through one of his numerous love affairs. Lydia Deetz (Winona Ryder) is wood by the enchanting Jersey Devil, despite being married to a struggling real estate agent (David Harbour). Through kooky scenarios and ecstatic characters, the fun near stops. Though entertaining it is also a heart-wrenching tale that shows Beetlejuice is just another man trying to find his way in the world. The story also progresses the idea that a family is never truly ideal. The story continues when you say the release date three times unbroken. Release date TBD.;$294,100,435;452000435;['beetlejuice homeless netherworld', 'beetlejuice learns jersey', 'learns jersey devil', 'enchanting jersey devil', 'jersey devil arnett', 'tale shows beetlejuice', 'jersey devil despite', 'parts jersey devil', 'jersey devil long', 'return beetlejuice homeless', 'return beetlejuice', 'ladies man beetlejuice', 'man beetlejuice learns', 'maitland house', 'mischief maitland', 'additions return beetlejuice', 'netherworld new sheriff', 'seeking comfort maitland', 'netherworld takes travel', 'comedic demon returns', 'affairs lydia deetz', 'maitland house explodes', 'deetz winona', 'sequel halloween', 'halloween classic keaton', 'devil despite married', 'demon returns silver', 'wood enchanting jersey', 'winona ryder wood', 'mortal world seeking', 'devil long', 'takes travel mortal', 'characters fun near', 'agent david harbour', 'sheriff parts jersey', 'wrenching tale shows', 'characters humble home', 'house blown', 'silver screen mischief', 'way world', 'estate agent', 'leaving beloved characters', 'tim burton', 'buckle original cast', 'presents long', 'ideal story', 'cast crew plus', 'kooky scenarios ecstatic', 'known ladies man', 'awaited sequel', 'explodes does fun', 'idea family truly', 'long lost', 'story progresses idea', 'new additions', 'struggling real estate', 'heart wrenching', 'critically acclaimed', 'unbroken release date', 'stops entertaining', 'home share love', 'lost son numerous', 'story continues', 'near stops', 'numerous love', 'guidance crew', 'filmmaker screenwriter', 'just man trying', 'action packed', 'truly ideal', 'surprising turn', 'events self', 'gas leak', 'search guidance', 'date times'];False;halloween night;0.4614381194114685
7;The Mummy;5.518;2017-06-06;en;tt2345759;Action, Adventure, Fantasy;Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient princess, whose destiny was unjustly taken from her, is awakened in our current day bringing with her malevolence grown over millennia, and terrors that defy human comprehension.;$80,227,895;409231607;['desert ancient princess', 'ancient princess destiny', 'ancient princess', 'unforgiving desert ancient', 'beneath unforgiving desert', 'princess destiny unjustly', 'unforgiving desert', 'desert ancient', 'princess destiny', 'deep beneath unforgiving', 'entombed crypt', 'safely entombed crypt', 'unjustly taken awakened', 'beneath unforgiving', 'safely entombed', 'crypt deep beneath', 'entombed crypt deep', 'grown millennia terrors', 'millennia terrors', 'terrors defy human', 'millennia terrors defy', 'awakened current day', 'malevolence grown millennia', 'taken awakened', 'crypt deep', 'deep beneath', 'destiny unjustly', 'awakened current', 'taken awakened current', 'bringing malevolence grown', 'destiny unjustly taken', 'bringing malevolence', 'terrors defy', 'malevolence grown', 'day bringing malevolence', 'grown millennia', 'defy human', 'unjustly taken', 'current day', 'human comprehension', 'defy human comprehension', 'day bringing', 'current day bringing'];False;turns nightmare;0.31982526183128357
8;Signs;6.699;2002-08-02;en;tt0286106;Drama, Mystery, Sci-Fi;"Preacher Graham Hess loses his faith in God after his wife dies in a brutal car accident. He lives with his children and brother in a farmhouse. Crop circles start to appear in their cornfields; Graham dismisses them as mischief by miscreants. After hearing strange noises and watching news coverage on crop circles appearing all over the world, the family grows suspicious of alien activities. Now they must stick together as a family and believe, to survive and escape the ordeal.";$227,966,634;408200000;['preacher graham hess', 'preacher graham', 'hess loses faith', 'loses faith god', 'cornfields graham dismisses', 'god wife dies', 'graham hess loses', 'appear cornfields graham', 'cornfields graham', 'brother farmhouse crop', 'graham hess', 'loses faith', 'faith god wife', 'graham dismisses mischief', 'graham dismisses', 'hess loses', 'farmhouse crop circles', 'family believe survive', 'farmhouse crop', 'family grows', 'crop circles start', 'crop circles', 'news coverage crop', 'faith god', 'brother farmhouse', 'believe survive', 'god wife', 'children brother farmhouse', 'crop circles appearing', 'world family grows', 'family believe', 'family grows suspicious', 'lives children brother', 'grows suspicious alien', 'coverage crop circles', 'believe survive escape', 'grows suspicious', 'wife dies', 'accident lives children', 'appearing world family', 'dies brutal', 'coverage crop', 'wife dies brutal', 'accident lives', 'lives children', 'world family', 'appear cornfields', 'suspicious alien activities', 'brutal car accident', 'stick family believe', 'children brother', 'suspicious alien', 'mischief miscreants', 'car accident lives', 'dies brutal car', 'noises watching news', 'watching news', 'start appear cornfields', 'car accident', 'dismisses mischief', 'alien activities', 'circles appearing world', 'dismisses mischief miscreants', 'news coverage', 'circles appearing', 'escape ordeal', 'appearing world', 'circles start', 'mischief miscreants hearing', 'activities stick family', 'strange noises', 'miscreants hearing', 'hearing strange', 'activities stick', 'start appear'];False;save family;0.4540271759033203
9;Meg 2: The Trench;6.385;2023-08-02;en;tt9224104;Action, Adventure, Horror;A research team's journey into the depths of the ocean turns into chaos when a mining operation forces them into a battle for survival, facing off against Megalodons and relentless environmental marauders.;$82,600,317;398500317;['ocean turns chaos', 'turns chaos mining', 'chaos mining', 'turns chaos', 'megalodons relentless environmental', 'chaos mining operation', 'team journey depths', 'ocean turns', 'megalodons relentless', 'facing megalodons relentless', 'relentless environmental marauders', 'relentless environmental', 'battle survival', 'battle survival facing', 'depths ocean turns', 'team journey', 'mining operation forces', 'journey depths ocean', 'research team journey', 'survival facing megalodons', 'depths ocean', 'forces battle', 'forces battle survival', 'journey depths', 'facing megalodons', 'operation forces battle', 'research team', 'mining operation', 'environmental marauders', 'survival facing', 'operation forces'];False;fight survival;0.4273605942726135
10;Sinners;7.485;2025-04-16;en;tt31193180;Action, Drama, Horror;Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.;$279,989,632;368389632;['twin brothers return', 'brothers return', 'brothers return hometown', 'twin brothers', 'lives twin brothers', 'troubled lives twin', 'return hometown', 'evil waiting welcome', 'lives twin', 'return hometown start', 'greater evil waiting', 'evil waiting', 'discover greater evil', 'greater evil', 'hometown start', 'hometown start discover', 'troubled lives', 'leave troubled lives', 'trying leave troubled', 'leave troubled', 'trying leave', 'waiting welcome', 'start discover greater', 'discover greater', 'start discover'];False;returns home;0.41311752796173096
