tmdb_id,imdb_id,title,release_year,genres,budget,box_office_revenue,vote_average,vote_count
10193,tt0435761,Toy Story 3,2010,"Animation, Family, Comedy",200000000,1067316101,7.805,15517
12155,tt1014759,Alice in Wonderland,2010,"Family, Fantasy, Adventure",200000000,1025467110,6.637,14652
12444,tt0926084,Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Fantasy",250000000,954305868,7.735,20149
27205,tt1375666,Inception,2010,"Action, Science Fiction, Adventure",160000000,839030630,8.371,38789
10192,tt0892791,Shrek Forever After,2010,"Comedy, Adventure, Fantasy, Animation, Family",165000000,752600867,6.395,7840
24021,tt1325004,The Twilight Saga: Eclipse,2010,"Adventure, Fantasy, Drama, Romance",68000000,698491347,6.195,9166
10138,tt1228705,Iron Man 2,2010,"Adventure, Action, Science Fiction",200000000,623933331,6.85,22124
38757,tt0398286,Tangled,2010,"Animation, Family, Adventure",260000000,592461732,7.61,12223
20352,tt1323594,Despicable Me,2010,"Family, Comedy, Animation, Science Fiction, Action",69000000,543284256,7.256,15881
10191,tt0892769,How to Train Your Dragon,2010,"Fantasy, Adventure, Animation, Family",165000000,495141736,7.856,14149
18823,tt0800320,Clash of the Titans,2010,"Adventure, Fantasy, Action",125000000,493214993,5.918,6595
10140,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,"Adventure, Family, Fantasy",155000000,415686217,6.441,5835
45269,tt1504320,The King's Speech,2010,"Drama, History",15000000,414211549,7.733,9187
20526,tt1104001,TRON: Legacy,2010,"Adventure, Action, Science Fiction",170000000,409912892,6.536,7794
38575,tt1155076,The Karate Kid,2010,"Action, Adventure, Drama, Family",40000000,359126022,6.565,6464
9543,tt0473075,Prince of Persia: The Sands of Time,2010,"Adventure, Fantasy, Action",200000000,336365676,6.295,7073
44214,tt0947798,Black Swan,2010,"Drama, Thriller, Horror",13000000,329398046,7.685,15368
38055,tt1001526,Megamind,2010,"Animation, Action, Comedy, Family, Science Fiction",130000000,321885765,7.017,7352
20662,tt0955308,Robin Hood,2010,"Action, Adventure, History",200000000,321669741,6.395,4941
10196,tt0938283,The Last Airbender,2010,"Action, Adventure, Fantasy",150000000,319713881,4.646,4204
39451,tt0970866,Little Fockers,2010,"Comedy, Romance",100000000,310650585,5.655,3405
35791,tt1220634,Resident Evil: Afterlife,2010,"Action, Adventure, Horror, Science Fiction",60000000,300228084,6.052,4128
11324,tt1130884,Shutter Island,2010,"Drama, Thriller, Mystery",80000000,294804195,8.2,25497
27576,tt0944835,Salt,2010,"Action, Mystery, Thriller",110000000,293329073,6.414,5833
37786,tt1261945,Sex and the City 2,2010,"Comedy, Drama, Romance",100000000,290700000,6.1,1709
37710,tt1243957,The Tourist,2010,"Action, Thriller, Romance",100000000,278731369,6.177,5683
27578,tt1320253,The Expendables,2010,"Thriller, Adventure, Action",80000000,274470394,6.25,8171
38365,tt1375670,Grown Ups,2010,Comedy,80000000,271457606,6.395,6564
37834,tt1013743,Knight and Day,2010,"Action, Comedy",117000000,261989769,6.228,4824
44264,tt1403865,True Grit,2010,"Drama, Adventure, Western",38000000,252300000,7.303,5655
38745,tt1320261,Gulliver's Travels,2010,"Family, Comedy, Adventure, Fantasy",112000000,237382724,5.216,2507
32657,tt0814255,Percy Jackson & the Olympians: The Lightning Thief,2010,"Adventure, Fantasy, Family",95000000,226497209,6.212,7750
37799,tt1285016,The Social Network,2010,Drama,40000000,224920315,7.37,12959
32856,tt0817230,Valentine's Day,2010,"Comedy, Romance",52000000,216528528,5.92,3137
27022,tt0963966,The Sorcerer's Apprentice,2010,"Fantasy, Adventure, Action",150000000,215300000,6.135,5203
41733,tt1231583,Due Date,2010,"Comedy, Drama",65000000,211800000,6.388,5719
38167,tt0879870,Eat Pray Love,2010,"Drama, Romance",60000000,204594016,6.244,2589
41515,tt1302067,Yogi Bear,2010,"Comedy, Family, Animation, Adventure",80000000,203509374,5.563,930
39514,tt1245526,RED,2010,"Action, Adventure, Comedy, Crime, Thriller",58000000,199006387,6.707,7062
41436,tt1536044,Paranormal Activity 2,2010,"Horror, Mystery",3000000,177512032,5.788,2601
