id,director_id,title,budget,revenue,release_year,avg_score,imdb_vote_count
0,1,Raiders of the Lost Ark,18000000,389925971,1981,8.58,1102713
1,1,Indiana Jones and the Last Crusade,48000000,474171806,1989,7.74,858909
2,1,Indiana Jones and the Temple of Doom,28000000,333000000,1984,7.05,564776
3,1,Minority Report,102000000,358372926,2002,7.96,617708
4,1,War of the Worlds,132000000,603873119,2005,7.01,502091
5,1,Indiana Jones and the Kingdom of the Crystal Skull,185000000,786636033,2008,6.6,511928
6,1,The Lost World: Jurassic Park,73000000,618638999,1997,6.19,473902
7,1,Jurassic Park,63000000,920100000,1993,8.02,1167043
8,1,Schindler's List,22000000,321365567,1993,9.22,1573985
9,1,Jaws,7000000,470653000,1975,8.54,731140
10,1,E.T. the Extra-Terrestrial,10500000,797307407,1982,8.63,468998
11,1,The Terminal,60000000,219417255,2004,6.59,531834
12,1,Munich,70000000,130982129,2005,7.48,251412
13,1,Catch Me If You Can,52000000,352114312,2002,8.29,1221144
14,1,A.I. Artificial Intelligence,100000000,235926552,2001,7.1,337075
15,1,Duel,450000,2544,1971,8.0,85679
16,1,Close Encounters of the Third Kind,20000000,306889114,1977,8.26,229698
17,1,Saving Private Ryan,70000000,481840909,1998,8.83,1624514
18,1,The Color Purple,15000000,146300000,1985,7.63,102275
19,1,Hook,70000000,300854823,1991,5.63,289849
20,1,Empire of the Sun,35000000,66700000,1987,7.28,142122
21,1,Always,31000000,74100000,1989,6.16,34650
22,1,1941,35000000,94900000,1979,4.72,38772
23,1,Amistad,36000000,44229441,1997,7.13,86310
24,1,The Adventures of Tintin,130000000,373993951,2011,7.13,253447
25,1,Lincoln,65000000,275300000,2012,7.94,283599
26,1,War Horse,66000000,177584879,2011,7.28,171052
27,1,The BFG,140000000,195243411,2016,6.65,98409
28,1,Bridge of Spies,40000000,165478348,2015,8.01,343045
29,1,Ready Player One,175000000,607274134,2018,7.12,536233
30,1,The Post,50000000,179769467,2017,7.83,170664
31,1,West Side Story,100000000,76016171,2021,7.91,121710
32,1,The Fabelmans,40000000,45629909,2022,8.19,133423
33,1,Twilight Zone: The Movie,10000000,29450920,1983,5.82,43190
