id,name,avg_score,total_vote_count,latest_movie_release_year,tmdb_id,imdb_id,directed_movie_count
0,Ryan Coogler,8.02,2094488,2025,1056121,nm3363032,5
1,Steven Spielberg,7.43,15703299,2022,488,nm0000229,34
2,Guillermo del Toro,7.25,3563877,2025,10828,nm0868219,12
3,Christopher Nolan,8.06,18012558,2023,525,nm0634240,12
4,Paul Thomas Anderson,7.96,2547643,2025,4762,nm0000759,10
5,Martin Scorsese,7.97,11438197,2023,1032,nm0000217,22
6,Taika Waititi,7.25,2218502,2023,55934,nm0169806,6
7,Wes Anderson,7.64,3290443,2025,5655,nm0027572,12
8,James Cameron,7.74,7217264,2025,2710,nm0000116,9
9,Hayao Miyazaki,8.36,3512121,2023,608,nm0594503,12
