adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,budget,revenue,runtime,genres
False,/gILte6Zd7m1YneIr6MVhh30S9pr.jpg,"[18, 80]",769,en,GoodFellas,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",20.8674,/9OkCLM73MIU2CrKZbqiT8Ln1wY2.jpg,1990-09-12,GoodFellas,False,8.452,14073,25000000.0,47072327.0,145.0,"['Drama', 'Crime']"
False,/6nLdSON3ErniBZTXWG7WRqs5jGz.jpg,"[14, 53, 10749]",251,en,Ghost,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",13.4645,/w9RaPHov8oM5cnzeE27isnFMsvS.jpg,1990-07-13,Ghost,False,7.229,5921,22000000.0,505000000.0,127.0,"['Fantasy', 'Thriller', 'Romance']"
False,/x2wOlXuK4NzPDQ0OBZiJjNNOp6Y.jpg,"[28, 12, 878]",861,en,Total Recall,"Construction worker Douglas Quaid's obsession with the planet Mars leads him to visit Recall, a company that manufactures memories. When his memory implant goes wrong, Doug can no longer be sure what is and isn't reality.",13.6031,/wVbeL6fkbTKSmNfalj4VoAUUqJv.jpg,1990-06-01,Total Recall,False,7.313,6315,65000000.0,261317921.0,113.0,"['Action', 'Adventure', 'Science Fiction']"
False,/uNLIMPxknsV4n3IAEDpS1iqF5dm.jpg,"[14, 18, 10749]",162,en,Edward Scissorhands,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,13.8898,/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg,1990-12-07,Edward Scissorhands,False,7.719,13607,20000000.0,86024005.0,105.0,"['Fantasy', 'Drama', 'Romance']"
False,/eVOS8kjUwaTspcaBYCCvAFQjeua.jpg,"[35, 18]",721790,ml,Parallel College,"Ananthan joins as a teacher in a college to get over his troubled past. However, his life changes for the better when he meets Sridevi.",7.5867,/nzWOaSDx9b4950X9FkZ1CIyRpNr.jpg,1990-12-31,Parallel College,False,0.0,0,0.0,0.0,0.0,"['Comedy', 'Drama']"
False,/8zhviPFJx25k8PbUOUL5sLOy9XE.jpg,"[80, 18, 53]",242,en,The Godfather Part III,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",9.7562,/lm3pQ2QoQ16pextRsmnUbG2onES.jpg,1990-12-25,The Godfather Part III,False,7.418,6726,54000000.0,136766062.0,162.0,"['Crime', 'Drama', 'Thriller']"
False,/2EfIedXlPBE5dOAW6ciDqHxeoci.jpg,"[18, 27]",146800,ja,馬と女と犬,"Three social outcasts who live near the seaside interact with each other in increasingly disturbing ways. The trio of characters are a woman who has killed her sister, a man who enjoys necrophilia, and a female amnesiac. The first woman engages in sadistic pursuits such as capturing young women at the beach to force them to engage in sexual activities, including copulation with a horse and a dog.",10.703,/iXr8TWbTQst5hwaZIbIykghIdiC.jpg,1990-05-01,Uma to onna to inu,False,5.4,13,0.0,0.0,58.0,"['Drama', 'Horror']"
False,/sGEqHTylawwS6hwKultk1mKUjdB.jpg,"[10749, 35]",114,en,Pretty Woman,"While on a business trip in Los Angeles, Edward Lewis, a millionaire entrepreneur who makes a living buying and breaking up companies, picks up a prostitute, Vivian, while asking for directions; after, Edward hires Vivian to stay with him for the weekend to accompany him to a few social events, and the two get closer only to discover there are significant hurdles to overcome as they try to bridge the gap between their very different worlds.",9.2412,/hVHUfT801LQATGd26VPzhorIYza.jpg,1990-03-23,Pretty Woman,False,7.453,8854,14000000.0,463406268.0,120.0,"['Romance', 'Comedy']"
False,/ywWva4trKw7f3wtbz81Fe3FnrtC.jpg,"[12, 18, 37]",581,en,Dances with Wolves,"Wounded Civil War soldier John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",8.0699,/hw0ZEHAaTqTxSXGVwUFX7uvanSA.jpg,1990-03-30,Dances with Wolves,False,7.832,4595,22000000.0,424208848.0,181.0,"['Adventure', 'Drama', 'Western']"
False,/cgo3OmF84touDrrLkQ1DQ3MRFyO.jpg,"[18, 53]",1700,en,Misery,"After an accident, acclaimed novelist Paul Sheldon is rescued by a nurse who claims to be his biggest fan.  Her obsession takes a dark turn when she holds him captive in her remote Colorado home and forces him to write back to life the popular literary character he killed off.",11.0341,/klPO5oh1LOxiPpdDXZo1ADgpKcw.jpg,1990-11-30,Misery,False,7.745,5115,20000000.0,61300000.0,107.0,"['Drama', 'Thriller']"
