title,release_date,budget,revenue,runtime,genres,release_year
GoodFellas,1990-09-12,25000000.0,47072327.0,145.0,"['Drama', 'Crime']",1990
Ghost,1990-07-13,22000000.0,505000000.0,127.0,"['Fantasy', 'Thriller', 'Romance']",1990
Total Recall,1990-06-01,65000000.0,261317921.0,113.0,"['Action', 'Adventure', 'Science Fiction']",1990
Edward Scissorhands,1990-12-07,20000000.0,86024005.0,105.0,"['Fantasy', 'Drama', 'Romance']",1990
Parallel College,1990-12-31,0.0,0.0,0.0,"['Comedy', 'Drama']",1990
The Godfather Part III,1990-12-25,54000000.0,136766062.0,162.0,"['Crime', 'Drama', 'Thriller']",1990
Uma to onna to inu,1990-05-01,0.0,0.0,58.0,"['Drama', 'Horror']",1990
Pretty Woman,1990-03-23,14000000.0,463406268.0,120.0,"['Romance', 'Comedy']",1990
Dances with Wolves,1990-03-30,22000000.0,424208848.0,181.0,"['Adventure', 'Drama', 'Western']",1990
Misery,1990-11-30,20000000.0,61300000.0,107.0,"['Drama', 'Thriller']",1990
Erotic Ghost Story,1990-05-19,0.0,0.0,88.0,"['Fantasy', 'Drama', 'Horror']",1990
Tajomstvá pod viečkami,1990-01-01,0.0,0.0,0.0,['Drama'],1990
François Morellet,1990-01-01,0.0,0.0,0.0,[],1990
Predator 2,1990-11-21,35000000.0,57120318.0,108.0,"['Science Fiction', 'Action', 'Thriller']",1990
Die Hard 2,1990-07-03,70000000.0,240031094.0,124.0,"['Action', 'Thriller']",1990
Tremors,1990-01-19,11000000.0,48572000.0,96.0,"['Horror', 'Action', 'Science Fiction', 'Comedy']",1990
Vampire Cop,1990-01-01,0.0,0.0,89.0,"['Horror', 'Action']",1990
The Hunt for Red October,1990-03-02,30000000.0,200512643.0,135.0,"['Action', 'Thriller']",1990
Osmý div světa,1990-03-28,0.0,0.0,0.0,['Drama'],1990
Meteo,1990-02-22,0.0,0.0,98.0,"['Science Fiction', 'Drama', 'Mystery']",1990
义不容辞,1990-01-01,0.0,0.0,0.0,[],1990
Rheinsberg,1990-01-07,0.0,0.0,83.0,['Romance'],1990
Twisted Justice,1990-03-20,0.0,0.0,78.0,"['Action', 'Drama', 'Crime']",1990
"Friends, Comrades",1990-11-16,0.0,0.0,132.0,"['Drama', 'War', 'History']",1990
Lady Vaselina,1990-09-17,0.0,0.0,16.0,['Drama'],1990
The Basement,1990-04-14,0.0,0.0,100.0,['Drama'],1990
离婚合同,1990-01-01,0.0,0.0,0.0,['Comedy'],1990
Back to the Future Part III,1990-05-25,40000000.0,244527583.0,119.0,"['Adventure', 'Comedy', 'Science Fiction']",1990
Chikan Densha: Yawarakai Hada,1990-06-23,0.0,0.0,57.0,[],1990
Awakenings,1990-12-04,31000000.0,52096475.0,120.0,['Drama'],1990
The Rookie,1990-12-07,10000000.0,21600000.0,120.0,"['Action', 'Crime', 'Drama', 'Thriller']",1990
El día de las locas,1990-02-06,0.0,0.0,85.0,[],1990
Green Card,1990-12-23,12500000.0,29888235.0,108.0,"['Comedy', 'Romance', 'Drama']",1990
Podivné premiéry,1990-04-20,0.0,0.0,0.0,['Drama'],1990
DuckTales: The Movie - Treasure of the Lost Lamp,1990-08-03,20000000.0,18115724.0,74.0,"['Adventure', 'Animation', 'Family', 'Comedy', 'Fantasy']",1990
The Crossing,1990-10-18,0.0,0.0,95.0,"['Romance', 'Drama']",1990
African Express,1990-07-01,0.0,0.0,94.0,"['War', 'Action', 'Adventure']",1990
Gremlins 2: The New Batch,1990-06-15,50000000.0,41482207.0,106.0,"['Comedy', 'Horror', 'Fantasy']",1990
Another Damaging Day,1990-09-29,0.0,0.0,12.0,['Drama'],1990
The Ballad of Ewan MacColl,1990-01-25,0.0,0.0,80.0,[],1990
Latent Image,1990-05-04,0.0,0.0,92.0,['Drama'],1990
Der zerbrochne Krug,1990-04-15,0.0,0.0,95.0,['Comedy'],1990
