ID,title,rating,release_date,original_language,IMDb_ID,genre,plot,box_office_domestic,box_office_worldwide
1,It,7.239,2017-09-06,en,tt1396484,Horror,"In the Town of Derry, the local kids are disappearing one by one. In a place known as 'The Barrens', a group of seven kids are united by their horrifying and strange encounters with an evil clown and their determination to kill It.","$328,874,981",719766009
2,World War Z,6.823,2013-06-19,en,tt0816711,"Action, Adventure, Horror","Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.","$202,807,711",531865000
3,The Meg,6.248,2018-08-09,en,tt4779682,"Action, Adventure, Horror","Five years ago, expert sea diver and Naval Captain Jonas Taylor encountered an unknown danger in the unexplored recesses of the Mariana Trench that forced him to abort his mission and abandon half his crew. Though the tragic incident earned him a dismissal from service, what ultimately cost him his career, his marriage and any semblance of honor was his unsupported and incredulous claims of what caused it - an attack on his vessel by a mammoth, 70-foot sea creature, believed to be extinct for more than a million years. But when a submersible lies sunk and disabled at the bottom of the ocean - carrying his ex-wife among the team onboard - he is the one who gets the call. Whether a shot at redemption or a suicide mission, Jonas must confront his fears and risk his own life and the lives of everyone trapped below on a single question: Could the Carcharodon Megalodon - the largest marine predator that ever existed - still be alive - and on the hunt?","$145,522,784",530517320
4,The Conjuring: Last Rites,6.9,2025-09-03,en,tt22898462,"Horror, Mystery, Thriller",Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,"$177,756,445",499156445
5,It Chapter Two,6.841,2019-09-04,en,tt7349950,"Drama, Fantasy, Horror","Defeated by members of the Losers' Club, the evil clown Pennywise returns 27 years later to terrorize the town of Derry, Maine, once again. Now adults, the childhood friends have long since gone their separate ways. But when people start disappearing, Mike Hanlon calls the others home for one final stand. Damaged by scars from the past, the united Losers must conquer their deepest fears to destroy the shape-shifting Pennywise -- now more powerful than ever.","$211,622,525",473123154
6,Beetlejuice Beetlejuice,6.942,2024-09-04,en,tt2049403,"Comedy, Fantasy, Horror","From critically acclaimed filmmaker and screenwriter, Tim Burton presents the long-awaited sequel to the Halloween classic. Keaton's action-packed comedic demon returns to the silver screen for more mischief than ever before. When the Maitland house EXPLODES, so does the fun, so buckle up. The original cast and crew plus new additions return when Beetlejuice is found homeless in the netherworld. He takes it upon himself to travel back to the mortal world seeking comfort, only to find the Maitland house has blown up due to a gas leak. Leaving our beloved characters without a humble home to share the love. In search of guidance, the crew travels down to the Netherworld only to find there's a new sheriff in these parts, The Jersey Devil (Will Arnett). Through a surprising turn of events, the self-known ladies man, Beetlejuice learns that the Jersey Devil is his long-lost son through one of his numerous love affairs. Lydia Deetz (Winona Ryder) is wood by the enchanting Jersey Devil, despite being married to a struggling real estate agent (David Harbour). Through kooky scenarios and ecstatic characters, the fun near stops. Though entertaining it is also a heart-wrenching tale that shows Beetlejuice is just another man trying to find his way in the world. The story also progresses the idea that a family is never truly ideal. The story continues when you say the release date three times unbroken. Release date TBD.","$294,100,435",452000435
7,The Mummy,5.518,2017-06-06,en,tt2345759,"Action, Adventure, Fantasy","Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient princess, whose destiny was unjustly taken from her, is awakened in our current day bringing with her malevolence grown over millennia, and terrors that defy human comprehension.","$80,227,895",409231607
8,Signs,6.699,2002-08-02,en,tt0286106,"Drama, Mystery, Sci-Fi","Preacher Graham Hess loses his faith in God after his wife dies in a brutal car accident. He lives with his children and brother in a farmhouse. Crop circles start to appear in their cornfields; Graham dismisses them as mischief by miscreants. After hearing strange noises and watching news coverage on crop circles appearing all over the world, the family grows suspicious of alien activities. Now they must stick together as a family and believe, to survive and escape the ordeal.","$227,966,634",408200000
9,Meg 2: The Trench,6.385,2023-08-02,en,tt9224104,"Action, Adventure, Horror","A research team's journey into the depths of the ocean turns into chaos when a mining operation forces them into a battle for survival, facing off against Megalodons and relentless environmental marauders.","$82,600,317",398500317
10,Sinners,7.485,2025-04-16,en,tt31193180,"Action, Drama, Horror","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.","$279,989,632",368389632
