ID;title;rating;release_date;original_language;IMDb_ID;genre;plot;box_office_domestic;box_office_worldwide;extracted_plotpoints;Used_Plotphrases;Best_Match_Phrase;Similarity_Score
1;Ne Zha 2;8.112;2025-01-29;zh;tt34956443;Animation, Action, Adventure;After a great catastrophe, the souls of Nezha and Aobing are saved, but their bodies face ruin. To give them new life, Taiyi Zhenren turns to the mystical seven-colored lotus in a daring bid to rebuild them and change their fate.;$23,308,176;2259822417;['catastrophe souls nezha', 'souls nezha', 'souls nezha aobing', 'nezha aobing saved', 'life taiyi zhenren', 'seven colored lotus', 'taiyi zhenren turns', 'taiyi zhenren', 'new life taiyi', 'zhenren turns mystical', 'colored lotus', 'colored lotus daring', 'life taiyi', 'nezha aobing', 'lotus daring', 'catastrophe souls', 'mystical seven colored', 'turns mystical seven', 'zhenren turns', 'great catastrophe souls', 'mystical seven', 'saved bodies', 'lotus daring bid', 'aobing saved bodies', 'saved bodies face', 'turns mystical', 'ruin new life', 'change fate', 'seven colored', 'bodies face ruin', 'aobing saved', 'rebuild change fate', 'new life', 'face ruin new', 'ruin new', 'face ruin', 'great catastrophe', 'daring bid rebuild', 'bodies face', 'daring bid', 'bid rebuild', 'rebuild change', 'bid rebuild change'];False;save world;0.3333461284637451
2;Avatar: Fire and Ash;7.266;2025-12-17;en;tt1757678;Animation, Action, Adventure;Sequel of Avatar 2 (2022). The plot is unknown.;$401,636,328;1482195377;['sequel avatar 2022', 'avatar 2022 plot', 'avatar 2022', 'sequel avatar', '2022 plot', '2022 plot unknown', 'plot unknown'];False;soon discovers;0.3637566566467285
3;Frozen II;7.2;2019-11-20;en;tt4520988;Animation, Adventure, Comedy;Having harnessed her ever-growing power after lifting the dreadful curse of the eternal winter in Frozen (2013), the beautiful conjurer of snow and ice, Queen Elsa, now rules the peaceful kingdom of Arendelle, enjoying a happy life with her sister, Princess Anna. However, a melodious voice that only Elsa can hear keeps her awake, inviting her to the mystical enchanted forest that the sisters' father told them about a long time ago. Now, unable to block the thrilling call of the secret siren, Elsa, along with Anna, Kristoff, Olaf, and Sven summons up the courage to follow the voice into the unknown, intent on finding answers in the perpetually misty realm in the woods. More and more, an inexplicable imbalance is hurting not only her kingdom but also the neighboring tribe of Northuldra. Can Queen Elsa put her legendary magical skills to good use to restore peace and stability?;$477,373,578;1453683476;['elsa legendary magical', 'queen elsa legendary', 'northuldra queen elsa', 'ice queen elsa', 'queen elsa rules', 'elsa legendary', 'queen elsa', 'elsa hear', 'siren elsa', 'siren elsa anna', 'voice elsa hear', 'voice elsa', 'secret siren elsa', 'elsa rules peaceful', 'elsa rules', 'elsa anna', 'melodious voice elsa', 'elsa hear keeps', 'snow ice queen', 'enchanted forest sisters', 'tribe northuldra queen', 'elsa anna kristoff', 'princess anna', 'northuldra queen', 'princess anna melodious', 'anna kristoff olaf', 'legendary magical skills', 'ice queen', 'kingdom arendelle enjoying', 'sister princess', 'peaceful kingdom arendelle', 'mystical enchanted forest', 'curse eternal winter', 'mystical enchanted', 'magical skills good', 'legendary magical', 'anna melodious voice', 'conjurer snow ice', 'perpetually misty realm', 'winter frozen', 'forest sisters father', 'kristoff olaf sven', 'frozen 2013 beautiful', 'hurting kingdom', 'kingdom neighboring tribe', 'imbalance hurting kingdom', 'sven summons', 'sisters father told', 'summons courage follow', 'realm woods', 'awake inviting mystical', 'woods inexplicable', 'rules peaceful kingdom', 'life sister', 'dreadful curse', 'skills good', '2013 beautiful conjurer', 'lifting dreadful', 'use restore peace', 'answers perpetually', 'follow voice unknown', 'thrilling secret', 'having harnessed growing', 'keeps awake', 'growing power', 'father told long', 'unable block thrilling', 'inexplicable imbalance hurting', 'long time', 'enjoying happy life', 'good use', 'unable block', 'time ago', 'finding answers', 'unknown intent finding'];False;secrets hidden;0.43483778834342957
4;The Super Mario Bros. Movie;7.6;2023-04-05;en;tt6718170;Animation, Adventure, Comedy;Brooklyn plumbers Mario and Luigi are warped to the magical Mushroom Kingdom, and Mario must team up with Princess Peach, Toad, and Donkey Kong to save Luigi from the evil Bowser.;$574,934,330;1362000000;['plumbers mario luigi', 'brooklyn plumbers mario', 'mushroom kingdom mario', 'mario luigi', 'kingdom mario', 'plumbers mario', 'kingdom mario team', 'mario team princess', 'kong save luigi', 'luigi evil bowser', 'luigi evil', 'save luigi', 'mario luigi warped', 'mario team', 'save luigi evil', 'toad donkey kong', 'luigi warped', 'luigi warped magical', 'princess peach toad', 'peach toad donkey', 'team princess peach', 'magical mushroom kingdom', 'mushroom kingdom', 'peach toad', 'princess peach', 'brooklyn plumbers', 'donkey kong', 'toad donkey', 'team princess', 'donkey kong save', 'magical mushroom', 'warped magical mushroom', 'kong save', 'evil bowser', 'warped magical'];False;fairy tale;0.330709844827652
5;Harry Potter and the Deathly Hallows: Part 2;8.081;2011-07-12;en;tt1201607;Adventure, Family, Fantasy;Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) continue their quest of finding and destroying Voldemort's (Ralph Fiennes') three remaining Horcruxes, the magical items responsible for his immortality. But as the mystical Deathly Hallows are uncovered, and Voldemort finds out about their mission, the biggest battle begins, and life as they know it will never be the same again.;$381,884,297;1341511219;['fiennes remaining horcruxes', 'harry daniel radcliffe', 'radcliffe ron rupert', 'daniel radcliffe ron', 'radcliffe ron', 'daniel radcliffe', 'remaining horcruxes magical', 'horcruxes magical', 'rupert grint hermione', 'remaining horcruxes', 'harry daniel', 'voldemort ralph fiennes', 'ron rupert', 'hermione emma', 'hermione emma watson', 'horcruxes magical items', 'grint hermione emma', 'destroying voldemort ralph', 'mystical deathly hallows', 'fiennes remaining', 'ralph fiennes remaining', 'ron rupert grint', 'voldemort ralph', 'destroying voldemort', 'hallows uncovered voldemort', 'deathly hallows', 'rupert grint', 'deathly hallows uncovered', 'ralph fiennes', 'voldemort finds', 'finding destroying voldemort', 'emma watson', 'emma watson continue', 'uncovered voldemort', 'immortality mystical deathly', 'grint hermione', 'uncovered voldemort finds', 'biggest battle begins', 'battle begins life', 'biggest battle', 'immortality mystical', 'mystical deathly', 'responsible immortality mystical', 'voldemort finds mission', 'battle begins', 'items responsible immortality', 'watson continue quest', 'responsible immortality', 'hallows uncovered', 'magical items responsible', 'mission biggest battle', 'magical items', 'quest finding destroying', 'continue quest', 'begins life', 'watson continue', 'finding destroying', 'continue quest finding', 'begins life know', 'quest finding', 'mission biggest', 'life know', 'items responsible', 'finds mission biggest', 'finds mission'];False;battle good;0.4009056091308594
6;Frozen;7.249;2013-11-20;en;tt2294629;Animation, Adventure, Comedy;Fearless optimist Anna teams up with rugged mountain man Kristoff and his loyal reindeer Sven and sets off on an epic journey to find her sister Elsa, whose icy powers have trapped the kingdom of Arendelle in eternal winter. Encountering Everest-like conditions, mystical trolls and a hilarious snowman named Olaf, Anna and Kristoff battle the elements in a race to save the kingdom. From the outside Elsa looks poised, regal and reserved, but in reality she lives in fear as she wrestles with a mighty secret: she was born with the power to create ice and snow. It's a beautiful ability, but also extremely dangerous. Haunted by the moment her magic nearly killed her younger sister Anna, Elsa has isolated herself, spending every waking minute trying to suppress her growing powers. Her mounting emotions trigger the magic, accidentally setting off an eternal winter that she can't stop. She fears she's becoming a monster and that no one, not even her sister, can help her.;$400,953,009;1274219009;['fearless optimist anna', 'elsa icy powers', 'sister elsa icy', 'elsa icy', 'sister anna elsa', 'anna elsa isolated', 'sister elsa', 'olaf anna kristoff', 'anna elsa', 'olaf anna', 'optimist anna', 'elsa looks', 'journey sister elsa', 'elsa isolated', 'winter stop fears', 'sister anna', 'named olaf anna', 'fears monster sister', 'anna teams rugged', 'anna kristoff', 'anna kristoff battle', 'kingdom outside elsa', 'elsa looks poised', 'outside elsa looks', 'fearless optimist', 'optimist anna teams', 'icy powers trapped', 'snow beautiful ability', 'eternal winter encountering', 'kristoff loyal reindeer', 'snowman named olaf', 'elsa isolated spending', 'reindeer sven', 'fear wrestles mighty', 'ice snow', 'stop fears monster', 'lives fear', 'ability extremely dangerous', 'powers trapped kingdom', 'power create ice', 'mountain man kristoff', 'arendelle eternal winter', 'kristoff battle elements', 'journey sister', 'man kristoff loyal', 'trolls hilarious snowman', 'extremely dangerous haunted', 'trapped kingdom arendelle', 'sister help', 'born power', 'magic nearly killed', 'encountering everest', 'younger sister', 'suppress growing powers', 'conditions mystical trolls', 'secret born', 'magic accidentally setting', 'moment magic nearly', 'race save kingdom', 'haunted moment', 'sven sets epic', 'reserved reality lives', 'mounting emotions', 'trigger magic', 'setting eternal', 'rugged mountain man', 'nearly killed younger', 'sets epic journey', 'suppress growing', 'trying suppress', 'growing powers mounting', 'waking minute trying', 'elements race save', 'like conditions', 'regal reserved'];False;magical powers;0.43018656969070435
7;Beauty and the Beast;6.968;2017-03-16;en;tt2771200;Adventure, Family, Fantasy;Disney's animated classic takes on a new form, with a widened mythology and an all-star cast. A young Prince, imprisoned in the form of a Beast (Dan Stevens), can be freed only by true love. What may be his only opportunity arrives when he meets Belle (Emma Watson), the only human girl to ever visit the castle since it was enchanted.;$504,481,165;1266115964;['meets belle emma', 'belle emma', 'disney animated classic', 'disney animated', 'belle emma watson', 'castle enchanted', 'cast young prince', 'visit castle enchanted', 'freed true love', 'young prince', 'prince imprisoned', 'young prince imprisoned', 'imprisoned form beast', 'emma watson human', 'prince imprisoned form', 'watson human girl', 'girl visit castle', 'meets belle', 'emma watson', 'arrives meets belle', 'visit castle', 'beast dan', 'form beast dan', 'true love opportunity', 'beast dan stevens', 'human girl', 'animated classic', 'animated classic takes', 'mythology star cast', 'form beast', 'mythology star', 'love opportunity arrives', 'stevens freed true', 'love opportunity', 'cast young', 'star cast', 'watson human', 'star cast young', 'true love', 'stevens freed', 'freed true', 'human girl visit', 'dan stevens freed', 'widened mythology star', 'imprisoned form', 'form widened mythology', 'widened mythology', 'girl visit', 'classic takes new', 'opportunity arrives', 'takes new', 'classic takes', 'opportunity arrives meets', 'arrives meets', 'dan stevens', 'takes new form', 'new form', 'new form widened', 'form widened'];False;young prince;0.44482743740081787
8;Aquaman;6.866;2018-12-07;en;tt1477834;Action, Adventure, Fantasy;Born upon the shores of the surface world, Arthur Curry (Jason Momoa) discovers that he is only half human, with the other half of his blood being of Atlanteean descent, thus making him the rightful heir to the throne of the undersea kingdom of Atlantis. However, Arthur learns that Atlantis is being ruled by his malicious half-brother Orm (Patrick Wilson), who seeks to unite the seven underwater kingdoms and wage war upon the surface. With aid from Nuidis Vulko (Willem Dafoe) and the gorgeous Mera (Amber Heard), Arthur must discover the full potential of his true destiny and become Aquaman in order to save Atlantis and the surface from Orm's evil plot.;$335,104,314;1152028393;['kingdom atlantis arthur', 'arthur learns atlantis', 'atlantis arthur learns', 'atlantis arthur', 'undersea kingdom atlantis', 'born shores surface', 'kingdom atlantis', 'surface world arthur', 'learns atlantis ruled', 'atlantis surface', 'born shores', 'shores surface world', 'atlantis surface orm', 'atlantis ruled', 'learns atlantis', 'save atlantis surface', 'underwater kingdoms', 'save atlantis', 'true destiny aquaman', 'seven underwater kingdoms', 'atlantis ruled malicious', 'surface world', 'shores surface', 'jason momoa discovers', 'undersea kingdom', 'world arthur', 'unite seven underwater', 'arthur learns', 'momoa discovers', 'aquaman order', 'heir throne undersea', 'surface orm evil', 'underwater kingdoms wage', 'momoa discovers half', 'throne undersea', 'destiny aquaman order', 'jason momoa', 'world arthur curry', 'order save atlantis', 'seven underwater', 'blood atlanteean descent', 'heir throne', 'arthur discover potential', 'orm evil plot', 'heard arthur', 'orm patrick wilson', 'heard arthur discover', 'amber heard arthur', 'discovers half human', 'making rightful heir', 'war surface', 'surface aid nuidis', 'brother orm patrick', 'half brother orm', 'atlanteean descent making', 'willem dafoe gorgeous', 'evil plot', 'kingdoms wage war', 'vulko willem', 'war surface aid', 'wilson seeks unite', 'wage war surface', 'curry jason', 'dafoe gorgeous mera', 'descent making rightful', 'malicious half brother', 'potential true destiny', 'patrick wilson seeks', 'nuidis vulko', 'descent making', 'gorgeous mera amber', 'half blood', 'ruled malicious', 'seeks unite', 'discover potential'];False;father king;0.4371850788593292
9;The Lord of the Rings: The Return of the King;8.5;2003-12-17;en;tt0167260;Adventure, Drama, Fantasy;The final confrontation between the forces of good and evil fighting for control of the future of Middle-earth. Frodo and Sam reach Mordor in their quest to destroy the One Ring, while Aragorn leads the forces of good against Sauron's evil army at the stone city of Minas Tirith.;$386,975,644;1118888979;['aragorn leads forces', 'sam reach mordor', 'reach mordor quest', 'mordor quest', 'mordor quest destroy', 'reach mordor', 'destroy ring aragorn', 'ring aragorn leads', 'good sauron evil', 'sauron evil', 'ring aragorn', 'aragorn leads', 'sauron evil army', 'middle earth frodo', 'good evil fighting', 'frodo sam reach', 'forces good sauron', 'forces good evil', 'final confrontation forces', 'evil fighting', 'frodo sam', 'earth frodo sam', 'final confrontation', 'evil fighting control', 'good sauron', 'quest destroy ring', 'confrontation forces good', 'minas tirith', 'city minas tirith', 'evil army stone', 'future middle earth', 'stone city minas', 'confrontation forces', 'earth frodo', 'fighting control future', 'destroy ring', 'middle earth', 'evil army', 'forces good', 'good evil', 'control future middle', 'future middle', 'sam reach', 'quest destroy', 'city minas', 'fighting control', 'leads forces good', 'leads forces', 'army stone city', 'control future', 'stone city', 'army stone'];False;dark forces;0.4348180890083313
10;Pirates of the Caribbean: Dead Man's Chest;7.374;2006-07-06;en;tt0383574;Action, Adventure, Fantasy;"Once again we're plunged into the world of sword fights and ""savvy"" pirates. Captain Jack Sparrow is reminded he owes a debt to Davy Jones, who captains the flying Dutchman, a ghostly ship, with a crew from hell. Facing the ""locker"" Jack must find the heart of Davy Jones but to save himself he must get the help of quick-witted Will Turner and Elizabeth Swan. If that's not complicated enough, Will and Elizabeth are sentenced to hang, unless Will can get Lord Cutler Beckett Jack's compass. Will is forced to join another crazy adventure with Jack.";$423,315,812;1066179747;['jack sparrow reminded', 'captain jack sparrow', 'jack sparrow', 'pirates captain jack', 'sparrow reminded owes', 'jack heart davy', 'davy jones captains', 'sparrow reminded', 'davy jones save', 'captain jack', 'fights savvy pirates', 'pirates captain', 'savvy pirates captain', 'debt davy jones', 'adventure jack', 'savvy pirates', 'davy jones', 'debt davy', 'crazy adventure jack', 'heart davy jones', 'owes debt davy', 'jack compass forced', 'beckett jack compass', 'jack compass', 'heart davy', 'jack heart', 'beckett jack', 'captains flying dutchman', 'locker jack', 'captains flying', 'cutler beckett jack', 'flying dutchman', 'jones captains flying', 'dutchman ghostly ship', 'locker jack heart', 'ship crew hell', 'jones captains', 'plunged world sword', 'flying dutchman ghostly', 'facing locker jack', 'ghostly ship', 'reminded owes debt', 'lord cutler beckett', 'ghostly ship crew', 'hang unless lord', 'ship crew', 'world sword', 'world sword fights', 'unless lord cutler', 'elizabeth sentenced hang', 'witted turner elizabeth', 'plunged world', 'sword fights savvy', 'turner elizabeth swan', 'sentenced hang unless', 'complicated elizabeth sentenced', 'compass forced join', 'hang unless', 'quick witted turner', 'join crazy adventure', 'jones save', 'elizabeth swan complicated', 'complicated elizabeth', 'lord cutler', 'unless lord', 'fights savvy', 'owes debt', 'crew hell facing', 'forced join', 'hell facing locker', 'swan complicated', 'quick witted', 'save help', 'hell facing', 'help quick'];False;epic quest;0.3189123868942261
