id,tmdb_id,imdb_id,title,release_year,genres,runtime,production_studios,tmdb_rating,imdb_rating,rotten_score,meta_score,avg_score
1,75571,tt0313441,Our War Game,2000,"['Adventure', 'Animation', 'Action', 'Science Fiction']",41,['Toei Animation'],8.0,7.7,0.0,0.0,7.85
2,31352,tt1147513,Doraemon: Nobita and the Legend of the Sun King,2000,"['Animation', 'Adventure', 'Fantasy', 'Science Fiction', 'Family']",93,"['Shin-Ei Animation', 'Shogakukan', 'TV Asahi']",7.0,7.1,0.0,0.0,7.05
3,19576,tt0814243,One Piece: The Movie,2000,"['Action', 'Animation', 'Adventure', 'Comedy', 'Fantasy']",51,['Toei Animation'],7.0,6.9,0.0,0.0,6.95
4,20677,tt1068773,Detective Conan: Captured in Her Eyes,2000,"['Animation', 'Crime', 'Drama', 'Mystery', 'Adventure']",100,"['TOHO', 'Kyokuichi-Tokyo Movie']",7.4,7.5,0.0,0.0,7.45
5,62182,tt0407521,Devilman - Volume 3: Devilman Apocalypse,2000,"['Animation', 'Fantasy', 'Horror']",45,"['Aniplex', 'Dynamic Planning', 'Studio Live']",6.792,6.5,0.0,0.0,6.65
6,55892,tt0427531,Mezzo Forte,2000,"['Animation', 'Action', 'Thriller']",55,"['ARMS', 'Green Bunny']",6.483,6.7,0.0,0.0,6.59
7,16990,tt0270933,Escaflowne: The Movie,2000,"['Animation', 'Adventure', 'Drama', 'Fantasy']",98,"['Bandai Visual', 'SUNRISE', 'BONES']",6.7,6.6,4.3,5.0,5.65
8,10991,tt0235679,Pokémon 3: The Movie,2000,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Family']",93,"['Nintendo', 'OLM', 'TV Tokyo', 'Pikachu Project 2000', 'Shogakukan', 'Media Factory', 'Tomy', 'Creatures', 'GAME FREAK', 'jeki', 'Shogakukan Production']",6.534,5.9,22/10,2.2,4.88
9,322686,tt1263791,Leave it to Kero!,2000,"['Comedy', 'Animation']",10,['Madhouse'],8.485,7.7,0.0,0.0,8.09
10,31347,tt0301083,Cardcaptor Sakura: The Sealed Card,2000,"['Animation', 'Adventure', 'Fantasy', 'Romance']",80,"['Bandai Visual', 'Amber Film Works', 'Shelty', 'Shochiku', 'Madhouse', 'Kodansha']",8.1,7.7,0.0,0.0,7.9
