collection_id,collection_name,title,release_date,budget,revenue,roi,rating,vote_count,part,orig_revenue,orig_roi,orig_rating,revenue_diff,roi_diff,rating_diff
10,Star Wars Collection,Star Wars: Episode II - Attack of the Clones,2002-05-15,120000000,649398328,5.41,6.589,14142,0,,,,,,
10,Star Wars Collection,Star Wars: Episode III - Revenge of the Sith,2005-05-17,113000000,850000000,7.52,7.46,14724,1,649398328.0,5.41,6.589,200601672.0,2.1099999999999994,0.8709999999999996
10,Star Wars Collection,Star Wars: The Force Awakens,2015-12-15,245000000,2068223624,8.44,7.25,20327,2,649398328.0,5.41,6.589,1418825296.0,3.0299999999999994,0.6609999999999996
10,Star Wars Collection,Star Wars: The Last Jedi,2017-12-13,300000000,1332698830,4.44,6.757,16134,3,649398328.0,5.41,6.589,683300502.0,-0.9699999999999998,0.16799999999999926
10,Star Wars Collection,Star Wars: The Rise of Skywalker,2019-12-18,489900000,1074144248,2.19,6.272,10664,4,649398328.0,5.41,6.589,424745920.0,-3.22,-0.31700000000000017
84,Indiana Jones Collection,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,185000000,786636033,4.25,6.019,8900,0,,,,,,
84,Indiana Jones Collection,Indiana Jones and the Dial of Destiny,2023-06-25,294700000,383963057,1.3,6.513,4028,1,786636033.0,4.25,6.019,-402672976.0,-2.95,0.4939999999999998
119,The Lord of the Rings Collection,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,93000000,871368364,9.37,8.429,27119,0,,,,,,
119,The Lord of the Rings Collection,The Lord of the Rings: The Two Towers,2002-12-18,79000000,926287400,11.73,8.413,23529,1,871368364.0,9.37,8.429,54919036.0,2.360000000000001,-0.016000000000000014
119,The Lord of the Rings Collection,The Lord of the Rings: The Return of the King,2003-12-17,94000000,1118888979,11.9,8.494,26134,2,871368364.0,9.37,8.429,247520615.0,2.530000000000001,0.0649999999999995
263,The Dark Knight Collection,Batman Begins,2005-06-10,150000000,374218673,2.49,7.721,22325,0,,,,,,
263,The Dark Knight Collection,The Dark Knight,2008-07-16,185000000,1004558444,5.43,8.527,35296,1,374218673.0,2.49,7.721,630339771.0,2.9399999999999995,0.8059999999999992
263,The Dark Knight Collection,The Dark Knight Rises,2012-07-17,250000000,1081041287,4.32,7.792,24067,2,374218673.0,2.49,7.721,706822614.0,1.83,0.07099999999999973
295,Pirates of the Caribbean Collection,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,140000000,655011224,4.68,7.82,21944,0,,,,,,
295,Pirates of the Caribbean Collection,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,200000000,1066179747,5.33,7.374,16937,1,655011224.0,4.68,7.82,411168523.0,0.6500000000000004,-0.4460000000000006
295,Pirates of the Caribbean Collection,Pirates of the Caribbean: At World's End,2007-05-19,300000000,961691209,3.21,7.266,15265,2,655011224.0,4.68,7.82,306679985.0,-1.4699999999999998,-0.5540000000000003
295,Pirates of the Caribbean Collection,Pirates of the Caribbean: On Stranger Tides,2011-05-15,379000000,1046721266,2.76,6.565,14795,3,655011224.0,4.68,7.82,391710042.0,-1.92,-1.255
295,Pirates of the Caribbean Collection,Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23,230000000,795922298,3.46,6.653,12664,4,655011224.0,4.68,7.82,140911074.0,-1.2199999999999998,-1.1670000000000007
304,Ocean's Collection,Ocean's Eleven,2001-12-07,85000000,450717150,5.3,7.5,12372,0,,,,,,
304,Ocean's Collection,Ocean's Twelve,2004-12-09,110000000,362744280,3.3,6.565,7775,1,450717150.0,5.3,7.5,-87972870.0,-2.0,-0.9349999999999996
328,Jurassic Park Collection,Jurassic World,2015-06-06,150000000,1671537444,11.14,6.699,21367,0,,,,,,
328,Jurassic Park Collection,Jurassic World: Fallen Kingdom,2018-06-06,170000000,1310469037,7.71,6.533,12599,1,1671537444.0,11.14,6.699,-361068407.0,-3.4300000000000006,-0.16599999999999948
328,Jurassic Park Collection,Jurassic World Dominion,2022-06-01,465000000,1004004592,2.16,6.61,6923,2,1671537444.0,11.14,6.699,-667532852.0,-8.98,-0.08899999999999952
399,Predator Collection,Predators,2010-07-07,40000000,127233108,3.18,6.293,4531,0,,,,,,
399,Predator Collection,The Predator,2018-09-05,88000000,160542134,1.82,5.625,5060,1,127233108.0,3.18,6.293,33309026.0,-1.36,-0.6680000000000001
420,The Chronicles of Narnia Collection,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005-12-07,180000000,745013115,4.14,7.135,11364,0,,,,,,
420,The Chronicles of Narnia Collection,The Chronicles of Narnia: Prince Caspian,2008-05-15,225000000,419665568,1.87,6.629,6696,1,745013115.0,4.14,7.135,-325347547.0,-2.2699999999999996,-0.5060000000000002
420,The Chronicles of Narnia Collection,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010-12-02,155000000,415686217,2.68,6.441,5837,2,745013115.0,4.14,7.135,-329326898.0,-1.4599999999999995,-0.694
528,The Terminator Collection,Terminator 3: Rise of the Machines,2003-07-02,200000000,435000000,2.17,6.183,7131,0,,,,,,
528,The Terminator Collection,Terminator Salvation,2009-05-20,200000000,371353001,1.86,6.081,6919,1,435000000.0,2.17,6.183,-63646999.0,-0.30999999999999983,-0.10199999999999942
528,The Terminator Collection,Terminator Genisys,2015-06-23,155000000,440603537,2.84,5.95,8866,2,435000000.0,2.17,6.183,5603537.0,0.6699999999999999,-0.23299999999999965
528,The Terminator Collection,Terminator: Dark Fate,2019-10-23,185000000,261119292,1.41,6.413,5560,3,435000000.0,2.17,6.183,-173880708.0,-0.76,0.23000000000000043
556,Spider-Man Collection,Spider-Man,2002-05-01,139000000,821708551,5.91,7.323,20368,0,,,,,,
556,Spider-Man Collection,Spider-Man 2,2004-06-25,200000000,788976453,3.94,7.3,16118,1,821708551.0,5.91,7.323,-32732098.0,-1.9700000000000002,-0.023000000000000576
556,Spider-Man Collection,Spider-Man 3,2007-05-01,258000000,894983373,3.47,6.452,15010,2,821708551.0,5.91,7.323,73274822.0,-2.44,-0.8710000000000004
645,James Bond Collection,Die Another Day,2002-11-17,142000000,431971116,3.04,5.998,3816,0,,,,,,
645,James Bond Collection,Casino Royale,2006-11-14,150000000,599045960,3.99,7.569,11485,1,431971116.0,3.04,5.998,167074844.0,0.9500000000000002,1.5709999999999997
645,James Bond Collection,Quantum of Solace,2008-10-29,200000000,589593688,2.95,6.3,8399,2,431971116.0,3.04,5.998,157622572.0,-0.08999999999999986,0.3019999999999996
645,James Bond Collection,Skyfall,2012-10-24,200000000,1108594176,5.54,7.258,15952,3,431971116.0,3.04,5.998,676623060.0,2.5,1.2599999999999998
645,James Bond Collection,Spectre,2015-10-26,245000000,880707597,3.59,6.568,11104,4,431971116.0,3.04,5.998,448736481.0,0.5499999999999998,0.5699999999999994
645,James Bond Collection,No Time to Die,2021-09-29,250000000,774153024,3.1,7.3,6953,5,431971116.0,3.04,5.998,342181908.0,0.06000000000000005,1.3019999999999996
656,Saw Collection,Saw,2004-10-01,1200000,104045735,86.7,7.418,9903,0,,,,,,
656,Saw Collection,Saw II,2005-10-28,4000000,152925093,38.23,6.604,5779,1,104045735.0,86.7,7.418,48879358.0,-48.470000000000006,-0.8140000000000001
656,Saw Collection,Saw III,2006-10-26,10000000,164874275,16.49,6.4,4870,2,104045735.0,86.7,7.418,60828540.0,-70.21000000000001,-1.0179999999999998
656,Saw Collection,Saw IV,2007-10-25,10000000,139352653,13.94,6.165,4046,3,104045735.0,86.7,7.418,35306918.0,-72.76,-1.2530000000000001
