title,release_date,budget,revenue,runtime,genres,release_year,title_clean,film,year_film,oscar_nominations,oscar_wins,oscar_nominated,oscar_won
GoodFellas,1990-09-12,25000000.0,47072327.0,145.0,"['Drama', 'Crime']",1990,goodfellas,,,0.0,0.0,False,False
Ghost,1990-07-13,22000000.0,505000000.0,127.0,"['Fantasy', 'Thriller', 'Romance']",1990,ghost,Ghost,1990.0,5.0,2.0,True,True
Total Recall,1990-06-01,65000000.0,261317921.0,113.0,"['Action', 'Adventure', 'Science Fiction']",1990,total recall,Total Recall,1990.0,3.0,1.0,True,True
Edward Scissorhands,1990-12-07,20000000.0,86024005.0,105.0,"['Fantasy', 'Drama', 'Romance']",1990,edward scissorhands,Edward Scissorhands,1990.0,1.0,0.0,True,False
Parallel College,1990-12-31,0.0,0.0,0.0,"['Comedy', 'Drama']",1990,parallel college,,,0.0,0.0,False,False
The Godfather Part III,1990-12-25,54000000.0,136766062.0,162.0,"['Crime', 'Drama', 'Thriller']",1990,the godfather part iii,"The Godfather, Part III",1990.0,7.0,0.0,True,False
Uma to onna to inu,1990-05-01,0.0,0.0,58.0,"['Drama', 'Horror']",1990,uma to onna to inu,,,0.0,0.0,False,False
Pretty Woman,1990-03-23,14000000.0,463406268.0,120.0,"['Romance', 'Comedy']",1990,pretty woman,Pretty Woman,1990.0,1.0,0.0,True,False
Dances with Wolves,1990-03-30,22000000.0,424208848.0,181.0,"['Adventure', 'Drama', 'Western']",1990,dances with wolves,Dances With Wolves,1990.0,12.0,7.0,True,True
Misery,1990-11-30,20000000.0,61300000.0,107.0,"['Drama', 'Thriller']",1990,misery,Misery,1990.0,1.0,1.0,True,True
Erotic Ghost Story,1990-05-19,0.0,0.0,88.0,"['Fantasy', 'Drama', 'Horror']",1990,erotic ghost story,,,0.0,0.0,False,False
Tajomstvá pod viečkami,1990-01-01,0.0,0.0,0.0,['Drama'],1990,tajomstv pod viekami,,,0.0,0.0,False,False
François Morellet,1990-01-01,0.0,0.0,0.0,[],1990,franois morellet,,,0.0,0.0,False,False
Predator 2,1990-11-21,35000000.0,57120318.0,108.0,"['Science Fiction', 'Action', 'Thriller']",1990,predator 2,,,0.0,0.0,False,False
Die Hard 2,1990-07-03,70000000.0,240031094.0,124.0,"['Action', 'Thriller']",1990,die hard 2,,,0.0,0.0,False,False
Tremors,1990-01-19,11000000.0,48572000.0,96.0,"['Horror', 'Action', 'Science Fiction', 'Comedy']",1990,tremors,,,0.0,0.0,False,False
Vampire Cop,1990-01-01,0.0,0.0,89.0,"['Horror', 'Action']",1990,vampire cop,,,0.0,0.0,False,False
The Hunt for Red October,1990-03-02,30000000.0,200512643.0,135.0,"['Action', 'Thriller']",1990,the hunt for red october,The Hunt for Red October,1990.0,3.0,1.0,True,True
Osmý div světa,1990-03-28,0.0,0.0,0.0,['Drama'],1990,osm div svta,,,0.0,0.0,False,False
Meteo,1990-02-22,0.0,0.0,98.0,"['Science Fiction', 'Drama', 'Mystery']",1990,meteo,,,0.0,0.0,False,False
义不容辞,1990-01-01,0.0,0.0,0.0,[],1990,,,,0.0,0.0,False,False
Rheinsberg,1990-01-07,0.0,0.0,83.0,['Romance'],1990,rheinsberg,,,0.0,0.0,False,False
Twisted Justice,1990-03-20,0.0,0.0,78.0,"['Action', 'Drama', 'Crime']",1990,twisted justice,,,0.0,0.0,False,False
"Friends, Comrades",1990-11-16,0.0,0.0,132.0,"['Drama', 'War', 'History']",1990,friends comrades,,,0.0,0.0,False,False
Lady Vaselina,1990-09-17,0.0,0.0,16.0,['Drama'],1990,lady vaselina,,,0.0,0.0,False,False
The Basement,1990-04-14,0.0,0.0,100.0,['Drama'],1990,the basement,,,0.0,0.0,False,False
离婚合同,1990-01-01,0.0,0.0,0.0,['Comedy'],1990,,,,0.0,0.0,False,False
Back to the Future Part III,1990-05-25,40000000.0,244527583.0,119.0,"['Adventure', 'Comedy', 'Science Fiction']",1990,back to the future part iii,,,0.0,0.0,False,False
Chikan Densha: Yawarakai Hada,1990-06-23,0.0,0.0,57.0,[],1990,chikan densha yawarakai hada,,,0.0,0.0,False,False
Awakenings,1990-12-04,31000000.0,52096475.0,120.0,['Drama'],1990,awakenings,Awakenings,1990.0,3.0,0.0,True,False
