title,release_date,budget,revenue,roi,vote_average,vote_count,runtime,genres,avg_trend_before,max_trend_before,peak_date_before,avg_trend_after,max_trend_after
Inception,2010-07-15,160000000,839030630,5.24,8.371,38810,148,"Action, Science Fiction, Adventure",,,,,
Tangled,2010-11-24,260000000,592461732,2.28,7.609,12231,100,"Animation, Family, Adventure",,,,,
Shrek Forever After,2010-05-20,165000000,752600867,4.56,6.394,7846,93,"Comedy, Adventure, Fantasy, Animation, Family",,,,3.12,100.0
Shutter Island,2010-02-14,80000000,294804195,3.69,8.199,25508,138,"Drama, Thriller, Mystery",,,,39.0,100.0
How to Train Your Dragon,2010-03-18,165000000,495141736,3.0,7.855,14158,98,"Fantasy, Adventure, Animation, Family",,,,,
Legion,2010-01-21,26000000,67918658,2.61,5.895,2820,100,"Action, Fantasy, Horror",,,,,
Wall Street: Money Never Sleeps,2010-09-20,70000000,134748021,1.92,6.096,1653,133,"Drama, Crime",,,,,
Harry Potter and the Deathly Hallows: Part 1,2010-11-17,250000000,954305868,3.82,7.735,20159,146,"Adventure, Fantasy",,,,,
Percy Jackson & the Olympians: The Lightning Thief,2010-02-01,95000000,226497209,2.38,6.211,7752,118,"Adventure, Fantasy, Family",,,,,
Toy Story 3,2010-06-16,200000000,1067316101,5.34,7.805,15525,102,"Animation, Family, Comedy",,,,,
The Expendables,2010-08-07,80000000,274470394,3.43,6.25,8174,103,"Thriller, Adventure, Action",,,,,
Black Swan,2010-12-03,13000000,329398046,25.34,7.685,15372,108,"Drama, Thriller, Horror",,,,,
Grown Ups,2010-06-24,80000000,271457606,3.39,6.394,6567,102,Comedy,,,,,
Unstoppable,2010-11-04,100000000,167805466,1.68,6.606,3818,98,"Action, Thriller",,,,,
Stake Land,2010-09-30,650000,33245,0.05,6.202,855,98,"Drama, Horror, Science Fiction",,,,3.23,100.0
Iron Man 2,2010-04-28,200000000,623933331,3.12,6.85,22131,124,"Adventure, Action, Science Fiction",,,,,
Alice in Wonderland,2010-03-03,200000000,1025467110,5.13,6.637,14658,108,"Family, Fantasy, Adventure",,,,40.31,100.0
Despicable Me,2010-07-08,69000000,543284256,7.87,7.256,15886,95,"Family, Comedy, Animation, Science Fiction, Action",,,,,
Predators,2010-07-07,40000000,127233108,3.18,6.293,4531,107,"Science Fiction, Action, Thriller",9.46,100.0,2010-07-04,,
TRON: Legacy,2010-12-14,170000000,409912892,2.41,6.535,7795,126,"Adventure, Action, Science Fiction",,,,,
The Fighter,2010-12-10,25000000,129190869,5.17,7.381,4649,116,Drama,,,,25.59,100.0
Due Date,2010-11-03,65000000,211800000,3.26,6.387,5722,95,"Comedy, Drama",,,,,
