tmdb_id,imdb_id,title,release_year,genres,budget,box_office_revenue,vote_average,vote_count
635302,tt11032374,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,"Animation, Action, Fantasy",15700000,523542183,8.199,4417
508935,tt7294150,The Eight Hundred,2020,"War, History, Drama, Action",80000000,461421559,7.0,318
38700,tt1502397,Bad Boys for Life,2020,"Thriller, Action, Crime",90000000,426505244,7.119,8652
577922,tt6723592,Tenet,2020,"Action, Thriller, Science Fiction",205000000,365304105,7.173,10907
454626,tt3794354,Sonic the Hedgehog,2020,"Action, Science Fiction, Comedy, Family",85000000,319715683,7.289,10281
448119,tt6673612,Dolittle,2020,"Family, Comedy, Fantasy, Adventure",175000000,251410631,6.58,3836
635389,tt11177804,Jiang Ziya,2020,"Animation, Action, Fantasy, Adventure",0,240656068,7.267,215
559974,tt9597838,Shock Wave 2,2020,"Action, Crime, Thriller",40000000,226400000,7.082,171
716815,tt12497408,A Little Red Flower,2020,"Drama, Family",0,216000000,6.5,44
529203,tt2850386,The Croods: A New Age,2020,"Animation, Family, Adventure, Fantasy, Comedy",65000000,215905815,7.449,4087
495764,tt7713068,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,"Action, Crime",75000000,205537933,6.882,10712
464052,tt7126948,Wonder Woman 1984,2020,"Action, Adventure, Fantasy",200000000,169601036,6.373,8946
748685,tt13000980,The Sacrifice,2020,"War, History, Action, Drama",0,161047608,5.755,53
570670,tt1051906,The Invisible Man,2020,"Thriller, Science Fiction, Horror",7000000,144492724,7.1,6152
508439,tt7146812,Onward,2020,"Family, Comedy, Adventure, Animation, Fantasy",200000000,141888276,7.6,6496
508442,tt2948372,Soul,2020,"Animation, Family, Comedy, Fantasy, Drama, Music",150000000,121977511,8.095,11241
522627,tt8367814,The Gentlemen,2020,"Comedy, Crime",22000000,115171795,7.668,6452
481848,tt7504726,The Call of the Wild,2020,"Adventure, Family, Drama",109000000,111200000,7.522,3906
337401,tt4566758,Mulan,2020,"Adventure, Fantasy, Action",200000000,69965374,6.835,6985
757860,tt11454718,The Yin-Yang Master: Dream of Eternity,2020,"Action, Drama, Fantasy, Mystery, Science Fiction",0,69000000,7.269,210
524047,tt7737786,Greenland,2020,"Action, Adventure, Thriller, Science Fiction",34000000,52300000,7.127,5127
593402,tt10413566,Tolo Tolo,2020,"Comedy, Drama, Family",20000000,52186426,6.1,1299
604822,tt9695722,Vanguard,2020,"Action, Adventure, Comedy, Crime, Thriller",0,50866901,6.364,598
539537,tt0983946,Fantasy Island,2020,"Adventure, Fantasy, Horror, Mystery",7000000,49447308,5.763,2608
446893,tt6587640,Trolls World Tour,2020,"Family, Animation, Comedy, Fantasy, Adventure, Music",90000000,49276818,7.247,2245
340102,tt4682266,The New Mutants,2020,"Science Fiction, Horror, Action",67000000,49169594,6.083,3657
584850,tt8108274,Tanhaji: The Unsung Warrior,2020,"Action, Drama, History",16440000,48375000,6.355,83
613504,tt10362466,After We Collided,2020,"Romance, Drama",14000000,47990414,7.2,5438
607313,tt10773090,Sarileru Neekevvaru,2020,Action,11000000,46892742,6.033,60
425001,tt4532038,The War with Grandpa,2020,"Comedy, Family",18000000,43387445,6.435,1044
581392,tt8850222,Peninsula,2020,"Horror, Action, Thriller, Adventure",17000000,42698327,6.724,2542
458576,tt6475714,Monster Hunter,2020,"Action, Fantasy, Adventure",60000000,42145959,6.528,3501
443791,tt5774060,Underwater,2020,"Horror, Science Fiction, Action, Adventure",50000000,40882928,6.284,3387
338762,tt1634106,Bloodshot,2020,"Action, Science Fiction, Adventure",42000000,39861118,6.684,5193
625568,tt10059518,Unhinged,2020,"Action, Thriller, Horror",33000000,39238300,6.438,2471
657350,tt12767996,The Confidence Man JP – Episode of the Princess –,2020,"Comedy, Mystery",0,35762324,6.625,24
581526,tt12763920,Deliver Us from Evil,2020,"Crime, Action, Drama",12000000,34662454,6.891,225
682153,tt10588750,Doraemon: Nobita's New Dinosaur,2020,"Animation, Adventure, Family, Fantasy, Science Fiction, Comedy",0,34218525,7.4,53
628241,tt9537292,Ala Vaikunthapurramuloo,2020,"Action, Comedy, Drama, Family",11450000,34000000,6.568,103
514207,tt8060328,Invasion,2020,"Science Fiction, Drama, Action",8819200,32104054,6.9,874
553604,tt1838556,Honest Thief,2020,"Thriller, Action, Crime",0,31220247,6.476,1862
531219,tt0805647,Roald Dahl's The Witches,2020,"Comedy, Fantasy, Family, Horror",0,29303571,6.338,2955
385103,tt3152592,Scoob!,2020,"Animation, Comedy, Family, Mystery",90000000,28600000,7.0,1787
589754,tt13606158,The Last Warrior: Root of Evil,2020,"Fantasy, Adventure, Comedy",8400000,27658331,6.702,205
526019,tt7545266,Like a Boss,2020,Comedy,29000000,26900000,6.216,662
522241,tt8368512,The Courier,2020,"Thriller, History, Drama",0,26000000,7.032,1299
