,Plotphrase,Count
0,save world,187
1,young woman,166
2,fairy tale,100
3,good evil,90
4,comes life,88
5,school student,87
6,magical powers,76
7,best friend,71
8,little girl,69
9,old boy,69
10,thousands years,65
11,falls love,53
12,new friends,52
13,modern day,51
14,soon discovers,48
15,travel time,46
16,real world,44
17,new home,39
18,christmas eve,38
19,mysterious man,36
20,epic quest,35
21,comic book,33
22,world war,33
23,small town,30
24,father king,29
25,young prince,28
26,half vampire,28
27,monster high,26
28,come true,25
29,perilous journey,25
30,battle good,25
31,death note,24
32,dragon rider,24
33,dark forces,23
34,join forces,22
35,video game,22
36,feature film,22
37,beautiful princess,21
38,mother died,21
39,heaven earth,21
40,wizarding world,19
41,girl dreams,18
42,wishes come,18
43,order save,17
44,true identity,16
45,goes missing,16
46,decide future,16
47,secrets hidden,15
48,long lost,14
49,thirteen year,14
