,Plotphrase,Count
0,young woman,238
1,group friends,177
2,serial killer,133
3,new life,129
4,halloween night,123
5,fight survival,115
6,evil spirit,109
7,dark secret,90
8,childhood home,85
9,small town,82
10,college student,82
11,supernatural events,78
12,trapped inside,71
13,turns nightmare,70
14,younger sister,67
15,old son,57
16,save family,53
17,mysterious illness,52
18,soon discovers,50
19,dead bodies,49
20,car accident,48
21,best friend,47
22,police officer,45
23,single mother,42
24,returns home,40
25,face face,40
26,survive night,37
27,road trip,33
28,teenage girls,28
29,remote cabin,28
30,deadly game,28
31,vampire slayer,28
32,series disturbing,26
33,things start happening,26
34,game cat mouse,25
35,goes missing,24
36,young couple,23
37,world war,23
38,begins suspect,22
39,great white,21
40,weird things,20
41,13 year old,19
42,human beings,19
43,blood soaked,18
44,years earlier,18
45,tries save,18
46,forced confront,17
47,social media,16
48,urban legend,15
49,boarding school,15
