tmdb_id,imdb_id,title,release_year,genres,budget,box_office_revenue,vote_average,vote_count
955,tt0120755,Mission: Impossible II,2000,"Adventure, Action, Thriller",125000000,546388108,6.14,7450
98,tt0172495,Gladiator,2000,"Action, Drama, Adventure",103000000,465516248,8.222,20597
8358,tt0162222,Cast Away,2000,"Adventure, Drama",90000000,429632142,7.66,12112
3981,tt0207201,What Women Want,2000,"Comedy, Romance",70000000,374100000,6.446,4300
10567,tt0130623,Dinosaur,2000,"Animation, Family, Adventure, Drama",127500000,354248063,6.555,2708
8871,tt0170016,How the Grinch Stole Christmas,2000,"Family, Comedy, Fantasy",123000000,345800000,6.782,8185
1597,tt0212338,Meet the Parents,2000,"Comedy, Romance",55000000,330444045,6.692,6298
2133,tt0177971,The Perfect Storm,2000,"Drama, Adventure, Action",130000000,328718434,6.477,2512
36657,tt0120903,X-Men,2000,"Adventure, Action, Science Fiction",75000000,296339527,7.01,12040
2655,tt0161081,What Lies Beneath,2000,"Drama, Horror, Mystery, Thriller",100000000,291420351,6.428,1991
4247,tt0175142,Scary Movie,2000,Comedy,19000000,278023280,6.385,7587
4327,tt0160127,Charlie's Angels,2000,"Action, Comedy, Adventure",92000000,264105545,5.9,4446
462,tt0195685,Erin Brockovich,2000,Drama,52000000,256271286,7.438,3577
9741,tt0217869,Unbreakable,2000,"Thriller, Drama, Mystery",75000000,248118121,7.142,9807
9679,tt0187078,Gone in Sixty Seconds,2000,"Action, Crime, Thriller",90000000,237200000,6.449,4784
7443,tt0120630,Chicken Run,2000,"Animation, Comedy, Family",45000000,224834564,6.8,5349
11678,tt0190865,Vertical Limit,2000,"Adventure, Action, Thriller",75000000,215663859,5.993,1116
2024,tt0187393,The Patriot,2000,"Drama, History, War, Action",110000000,215294342,7.183,4233
146,tt0190332,"Crouching Tiger, Hidden Dragon",2000,"Adventure, Drama, Action, Romance",17000000,213978518,7.432,3499
1493,tt0212346,Miss Congeniality,2000,"Comedy, Crime, Action",45000000,212000000,6.529,4178
1900,tt0181865,Traffic,2000,"Thriller, Drama, Crime",48000000,207500000,7.1,2353
9383,tt0164052,Hollow Man,2000,"Action, Science Fiction, Thriller",95000000,190213455,5.956,2706
10481,tt0211181,102 Dalmatians,2000,"Family, Comedy",85000000,183611771,5.504,1454
9600,tt0208003,Big Momma's House,2000,"Crime, Comedy",30000000,173959438,5.819,2434
